Index,m/z,RT [min],Molecular Weight,Calibration RT [min]
3116,568.63892,0.739,569.64619,0.739
3117,568.67352,0.688,569.6808,0.688
3118,569.19891,13.248,570.20619,13.248
3119,569.57697,0.712,532.62836,0.712
3120,569.57745,0.711,570.58473,0.711
3121,569.59229,0.727,570.59956,0.727
3122,569.95502,0.8,510.94116,0.8
3123,569.99292,0.839,571.0002,0.839
3124,570.34058,17.538,571.34785,17.538
3125,570.34088,17.758,571.34816,17.758
3126,570.5545,17.751,571.56178,17.751
3127,570.57538,0.712,571.58266,0.712
3128,570.63562,0.745,571.6429,0.745
3129,571.05505,0.806,572.06233,0.806
3130,571.27771,13.66,572.28499,13.66
3131,571.28522,3.221,572.29249,3.221
3132,571.28839,16.684,572.29567,16.684
3133,571.58826,0.723,572.59553,0.723
3134,571.60834,0.698,572.61561,0.698
3135,571.92126,0.844,572.92854,0.844
3136,571.93427,0.829,590.95211,0.829
3137,571.93433,0.806,572.9416,0.806
3138,572.16858,3.326,573.17586,3.326
3139,572.57111,0.712,573.57838,0.712
3140,572.58789,0.725,573.59517,0.725
3141,572.60242,0.7,527.60421,0.7
3142,572.60339,0.698,573.61067,0.698
3143,572.60339,0.732,573.61067,0.732
3144,572.75128,0.76,263.87654,0.76
3145,573.57318,17.746,574.58046,17.746
3146,573.60199,0.697,574.60927,0.697
3147,573.81158,22.928,1149.63772,22.928
3148,573.81195,22.939,574.81923,22.939
3149,573.966,0.663,574.97328,0.663
3150,574.74432,0.763,575.7516,0.763
3151,574.81818,22.926,1151.65091,22.926
3152,574.93689,0.599,575.94417,0.599
3153,575.25964,10.508,576.26692,10.508
3154,575.46796,18.842,576.47523,18.842
3155,575.46796,19.436,576.47523,19.436
3156,575.73486,0.691,576.74214,0.691
3157,575.94958,0.797,576.95686,0.797
3158,576.02411,13.701,577.03139,13.701
3159,576.24384,9.304,577.25111,9.304
3160,576.61279,0.698,577.62007,0.698
3161,576.68347,0.746,577.69075,0.746
3162,577.10498,16.295,578.11226,16.295
3163,577.2644,14.641,578.27168,14.641
3164,577.28998,14.625,578.29725,14.625
3165,577.48352,19.085,578.4908,19.085
3166,577.48364,19.162,578.49092,19.162
3167,577.62311,0.733,578.63038,0.733
3168,577.79773,22.937,1157.61001,22.937
3169,577.79803,22.927,578.80531,22.927
3170,577.94275,0.797,578.95003,0.797
3171,577.94293,0.801,540.99433,0.801
3172,578.18622,3.314,579.19349,3.314
3173,578.51526,18.804,579.52254,18.804
3174,578.56207,0.713,579.56935,0.713
3175,578.59235,0.702,579.59962,0.702
3176,578.60919,0.695,579.61647,0.695
3177,578.68036,0.744,579.68764,0.744
3178,578.77234,0.868,579.77962,0.868
3179,578.77277,0.778,579.78004,0.778
3180,578.88727,0.557,289.94727,0.557
3181,579.02661,0.639,580.03389,0.639
3182,579.26947,13.662,580.27675,13.662
3183,579.29346,10.913,580.30073,10.913
3184,579.49921,19.463,580.50648,19.463
3185,579.57684,0.728,580.58412,0.728
3186,579.59241,0.725,580.59968,0.725
3187,579.9538,0.629,580.96107,0.629
3188,580.03021,0.641,581.03749,0.641
3189,580.58978,0.719,581.59706,0.719
3190,580.7641,0.77,543.81549,0.77
3191,580.76434,0.769,581.77162,0.769
3192,580.93774,0.626,581.94502,0.626
3193,581.16797,11.391,582.17525,11.391
3194,581.5152,19.99,582.52247,19.99
3195,581.60126,0.724,582.60853,0.724
3196,582.34015,17.788,583.34743,17.788
3197,582.34088,17.982,583.34816,17.982
3198,582.37732,18.418,583.3846,18.418
3199,582.39038,19.896,583.39766,19.896
3200,582.47375,17.915,583.48103,17.915
3201,582.55615,0.715,583.56343,0.715
3202,582.59937,0.727,583.60664,0.727
3203,582.6203,0.695,583.62758,0.695
3204,583.21497,13.246,584.22224,13.246
3205,583.59778,0.719,584.60505,0.719
3206,583.95093,0.797,292.4791,0.797
3207,583.95093,0.802,584.9582,0.802
3208,584.35645,18.185,585.36372,18.185
3209,584.35645,18.548,585.36372,18.548
3210,584.39294,18.942,585.40022,18.942
3211,584.55383,0.714,585.56111,0.714
3212,584.55396,0.718,603.5718,0.718
3213,584.58337,0.729,585.59065,0.729
3214,584.59412,0.725,585.60139,0.725
3215,584.70093,0.748,585.7082,0.748
3216,585.11108,0.816,586.11836,0.816
3217,585.25684,14.635,586.26411,14.635
3218,585.38721,6.917,586.39448,6.917
3219,585.59351,0.725,586.60078,0.725
3220,585.92883,0.831,586.93611,0.831
3221,586.16589,1.471,587.17317,1.471
3222,586.42432,19.903,587.43159,19.903
3223,586.59253,0.724,587.59981,0.724
3224,586.6366,0.736,587.64387,0.736
3225,586.66211,0.686,587.66939,0.686
3226,586.69385,0.75,587.70112,0.75
3227,586.8537,0.644,587.86098,0.644
3228,586.95917,8.864,587.96644,8.864
3229,587.26276,3.218,588.27003,3.218
3230,587.57501,0.704,588.58229,0.704
3231,588.43945,20.759,589.44673,20.759
3232,588.54437,0.715,271.77308,0.715
3233,588.54492,0.715,589.5522,0.715
3234,588.57385,0.712,589.58113,0.712
3235,588.63239,0.734,589.63966,0.734
3236,588.65973,0.686,589.66701,0.686
3237,589.22827,14.633,590.23555,14.633
3238,589.53699,0.801,1181.08853,0.801
3239,589.67242,0.724,590.6797,0.724
3240,590.25964,12.205,591.26692,12.205
3241,590.56769,0.71,591.57496,0.71
3242,590.58533,0.723,591.5926,0.723
3243,590.71832,0.761,591.7256,0.761
3244,591.18085,13.257,592.18812,13.257
3245,591.46265,18.154,592.46992,18.154
3246,591.46295,18.394,592.47023,18.394
3247,591.56793,0.708,592.57521,0.708
3248,591.5838,0.728,592.59108,0.728
3249,591.79529,22.937,1185.60513,22.937
3250,591.79553,22.931,592.80281,22.931
3251,592.3313,18.404,593.33858,18.404
3252,592.58197,0.724,593.58925,0.724
3253,592.60571,0.694,593.61299,0.694
3254,593.47827,18.393,594.48555,18.393
3255,593.47852,18.465,594.48579,18.465
3256,593.47864,18.676,594.48591,18.676
3257,593.47876,18.535,594.48604,18.535
3258,593.57965,0.72,594.58693,0.72
3259,593.80792,22.937,594.8152,22.937
3260,593.80804,22.941,1189.63064,22.941
3261,593.9162,0.8,556.96759,0.8
3262,594.48199,18.464,595.48927,18.464
3263,594.56354,0.709,549.56533,0.709
3264,594.56372,0.709,595.571,0.709
3265,594.57874,0.727,595.58601,0.727
3266,594.65417,0.742,595.66145,0.742
3267,595.28857,10.692,596.29585,10.692
3268,595.49438,19.024,596.50166,19.024
3269,595.56287,0.712,596.57014,0.712
3270,595.59229,0.726,596.59956,0.726
3271,595.78119,22.936,596.78847,22.936
3272,596.08667,0.572,597.09395,0.572
3273,596.35657,17.985,597.36384,17.985
3274,596.55933,0.709,551.56112,0.709
3275,596.56018,0.715,597.56746,0.715
3276,596.59003,0.687,597.5973,0.687
3277,596.64734,0.743,597.65462,0.743
3278,597.23041,15.116,598.23768,15.116
3279,597.24213,10.522,598.2494,10.522
3280,597.26752,10.511,616.28536,10.511
3281,597.2677,10.512,598.27498,10.512
3282,597.30432,16.925,598.3116,16.925
3283,597.30438,16.727,598.31166,16.727
3284,597.79437,22.928,1197.6033,22.928
3285,597.79443,22.94,598.80171,22.94
3286,597.93201,0.802,598.93928,0.802
3287,598.22571,9.304,599.23298,9.304
3288,598.30768,16.733,1198.62991,16.733
3289,598.30774,16.727,599.31502,16.727
3290,598.37207,18.542,599.37935,18.542
3291,598.37213,18.689,599.37941,18.689
3292,598.3725,18.865,599.37977,18.865
3293,598.58612,0.72,599.5934,0.72
3294,599.10553,0.824,600.11281,0.824
3295,599.1413,17.181,600.14857,17.181
3296,599.27289,14.638,600.28016,14.638
3297,599.32007,17.499,600.32734,17.499
3298,599.50061,22.927,600.50789,22.927
3299,599.56824,0.727,600.57551,0.727
3300,600.56897,0.719,601.57625,0.719
3301,600.59387,0.698,601.60115,0.698
3302,600.67047,0.752,601.67775,0.752
3303,601.25128,13.662,602.25856,13.662
3304,601.55109,0.706,602.55836,0.706
3305,601.5835,0.699,602.59077,0.699
3306,602.45496,21.302,603.46223,21.302
3307,602.61078,0.733,603.61806,0.733
3308,602.66833,0.753,603.67561,0.753
3309,602.90796,0.618,301.95762,0.618
3310,603.1496,11.746,604.15687,11.746
3311,603.15002,11.393,604.1573,11.393
3312,603.54773,0.708,604.55501,0.708
3313,603.57941,0.697,604.58668,0.697
3314,604.25415,12.2,605.26143,12.2
3315,604.54608,0.711,605.55336,0.711
3316,604.60535,0.731,605.61262,0.731
3317,605.22308,13.661,606.23036,13.661
3318,605.54407,0.711,606.55134,0.711
3319,605.64722,0.727,606.65449,0.727
3320,605.93292,0.799,570.96352,0.799
3321,606.07428,0.903,607.08156,0.903
3322,606.60175,0.732,607.60902,0.732
3323,607.23871,14.635,608.24599,14.635
3324,607.54224,0.707,608.54951,0.707
3325,607.64478,0.688,608.65205,0.688
3326,608.23938,10.656,609.24666,10.656
3327,608.48975,18.087,609.49702,18.087
3328,608.57196,0.705,609.57924,0.705
3329,608.59674,0.73,609.60402,0.73
3330,609.56964,0.701,610.57692,0.701
3331,610.01733,14.602,1222.04922,14.602
3332,610.29932,10.152,611.30659,10.152
3333,610.53687,0.704,611.54414,0.704
3334,610.56781,0.702,611.57509,0.702
3335,610.59314,0.726,611.60042,0.726
3336,610.6272,0.742,611.63447,0.742
3337,611.23615,10.495,612.24342,10.495
3338,611.2464,15.121,612.25368,15.121
3339,611.56793,0.699,612.57521,0.699
3340,611.79163,22.924,612.7989,22.924
3341,611.91437,0.853,612.92164,0.853
3342,611.92651,0.801,612.93379,0.801
3343,612.03693,0.583,631.05477,0.583
3344,612.38812,18.864,613.3954,18.864
3345,612.53326,0.712,613.54054,0.712
3346,612.5661,0.705,613.57338,0.705
3347,612.5766,0.723,613.58388,0.723
3348,612.62134,0.74,613.62861,0.74
3349,613.11292,0.828,614.12019,0.828
3350,613.1333,0.62,307.07029,0.62
3351,613.16016,0.817,614.16743,0.817
3352,613.16315,13.241,614.17042,13.241
3353,613.39154,18.687,614.39882,18.687
3354,613.53162,0.708,614.53889,0.708
3355,613.57513,0.689,614.58241,0.689
