Index,m/z,RT [min],Molecular Weight,Calibration RT [min]
2711,391.2851,14.862,392.29237,14.862
2712,391.28568,14.63,392.29295,14.63
2713,391.2858,15.67666667,392.2931,15.67666667
2714,391.28589,18.728,392.29317,18.728
2715,391.90213,0.776,392.90941,0.776
2716,391.9111,0.689,392.91838,0.689
2717,391.91125,0.689,356.94185,0.689
2718,392.20526,10.879,393.21254,10.879
2719,392.20538,10.736,393.21266,10.736
2720,392.22891,11.797,393.23619,11.797
2721,392.22897,10.908,393.23625,10.908
2722,392.24417,9.858,393.25145,9.858
2723,392.28851,14.495,393.29579,14.495
2724,392.31689,14.779,393.32417,14.779
2725,392.31708,15.198,393.32435,15.198
2726,392.45016,0.548,786.91488,0.548
2727,392.85489,0.77,393.86217,0.77
2728,393.04129,7.667,394.04857,7.667
2729,393.1212,0.765,394.1285,0.765
2730,393.26849,13.25,394.27577,13.25
2731,393.29486,14.102,394.30214,14.102
2732,393.29501,13.114,394.30229,13.114
2733,393.37378,19.596,788.76211,19.596
2734,393.37393,19.596,394.38121,19.596
2735,393.89435,0.766,394.90162,0.766
2736,393.98727,0.767,359.01787,0.767
2737,394.1371,8.58,395.1444,8.58
2738,394.23447,7.355,395.24174,7.355
2739,394.33231,16.421,395.33958,16.421
2740,394.43179,0.793,395.43907,0.793
2741,394.76294,0.753,395.77022,0.753
2742,394.76315,0.751,357.81455,0.751
2743,394.7915,0.733,395.79878,0.733
2744,394.84573,0.678,359.87633,0.678
2745,394.8468,0.997,395.85408,0.997
2746,394.9126,16.845,395.91987,16.845
2747,394.95605,0.86,395.96333,0.86
2748,394.9631,5.71,395.9704,5.71
2749,395.06573,4.853,396.07301,4.853
2750,395.15073,15.775,396.158,15.775
2751,395.16669,14.627,396.17396,14.627
2752,395.17072,3.22,396.17799,3.22
2753,395.25668,18.24,396.26396,18.24
2754,395.31021,13.263,396.31749,13.263
2755,395.31039,14.629,396.31767,14.629
2756,395.38931,20.262,396.39659,20.262
2757,395.45395,14.631,396.46123,14.631
2758,395.83438,0.744,396.84166,0.744
2759,395.95273,0.681,396.96,0.681
2760,396.15598,3.261,397.16325,3.261
2761,396.1886,9.364,397.19588,9.364
2762,396.34821,21.615,397.35548,21.615
2763,396.70267,0.734,397.70994,0.734
2764,396.73093,0.707,397.7382,0.707
2765,397.061,9.29,398.0683,9.29
2766,397.10779,14.916,398.11506,14.916
2767,397.1777,12.39166667,362.2083,12.39166667
2768,397.22638,15.951,398.23366,15.951
2769,397.23419,10.921,398.24147,10.921
2770,397.33209,18.614,398.33937,18.614
2771,397.33231,16.365,398.33958,16.365
2772,397.36841,19.234,398.37568,19.234
2773,397.72977,0.696,398.73704,0.696
2774,397.89105,0.75,398.89833,0.75
2775,398.1315,12.285,399.1388,12.285
2776,398.26572,15.378,399.27299,15.378
2777,398.69421,0.712,399.70149,0.712
2778,399.00974,0.586,200.00851,0.586
2779,399.08759,1.106,400.09486,1.106
2780,399.09598,1.109,400.10325,1.109
2781,399.09601,1.462,400.10328,1.462
2782,399.14008,11.747,400.14735,11.747
2783,399.1798,13.56,400.1871,13.56
2784,399.24982,6.378,400.25709,6.378
2785,399.3257,22.07,400.333,22.07
2786,399.32648,19.688,400.33375,19.688
2787,399.86224,0.69,400.86952,0.69
2788,399.86285,22.937,400.87013,22.937
2789,400.01862,0.61,401.02589,0.61
2790,400.03275,0.823,365.06334,0.823
2791,400.07913,1.106,401.08641,1.106
2792,400.0961,10.48333333,401.1034,10.48333333
2793,400.1672,11.23666667,401.1745,11.23666667
2794,400.24484,8.159,401.25212,8.159
2795,400.24512,8.004,401.25239,8.004
2796,400.29666,15.222,401.30394,15.222
2797,400.29669,14.682,401.30397,14.682
2798,400.73645,0.694,401.74373,0.694
2799,400.79929,0.74,401.80656,0.74
2800,400.86786,0.779,401.87514,0.779
2801,401.05075,0.608,402.05803,0.608
2802,401.05988,0.63,402.06715,0.63
2803,401.08752,9.538,402.0948,9.538
2804,401.11642,13.248,402.1237,13.248
2805,401.18768,3.221,402.19496,3.221
2806,401.1948,13.69833333,402.2021,13.69833333
2807,401.1948,13.69833333,402.2021,13.69833333
2808,401.2001,16.734,402.20738,16.734
2809,401.2334,9.853333333,402.2407,9.853333333
2810,401.23456,13.246,402.24183,13.246
2811,401.29074,19.074,402.29802,19.074
2812,401.3454,18.655,402.3527,18.655
2813,401.90723,0.76,402.9145,0.76
2814,401.99094,0.799,402.99821,0.799
2815,402.01062,0.644,403.0179,0.644
2816,402.0215,6,403.0288,6
2817,402.02863,0.833,403.0359,0.833
2818,402.73642,0.694,367.76702,0.694
2819,402.73657,0.694,403.74385,0.694
2820,402.7962,0.74,403.80348,0.74
2821,402.80743,18.595,403.81471,18.595
2822,402.80759,0.755,403.81486,0.755
2823,402.9929,0.511666667,404.0002,0.511666667
2824,402.99448,0.612,404.00175,0.612
2825,403.02228,0.803,404.02955,0.803
2826,403.1097,11.45333333,404.117,11.45333333
2827,403.1679,16.03333333,404.1752,16.03333333
2828,403.2115,13.67666667,404.2188,13.67666667
2829,403.5553,1.102,404.56257,1.102
2830,403.5553,2.799,809.12515,2.799
2831,403.84729,0.746,404.85457,0.746
2832,403.90384,0.682,404.91112,0.682
2833,403.99814,0.625,405.00542,0.625
2834,404.05301,0.821,359.05481,0.821
2835,404.17462,13.264,405.1819,13.264
2836,404.43277,0.769,405.44005,0.769
2837,404.716,0.736,405.72328,0.736
2838,404.73346,0.694,405.74074,0.694
2839,404.79324,0.734,405.80052,0.734
2840,404.81201,0.887,367.86341,0.887
2841,404.81219,0.881,405.81947,0.881
2842,405.09598,3.557,406.10325,3.557
2843,405.15677,4.149,406.16405,4.149
2844,405.15851,11.744,406.16578,11.744
2845,405.18481,9.927,406.19209,9.927
2846,405.22406,5.072,406.23134,5.072
2847,405.23926,10.669,406.24653,10.669
2848,405.23929,11.259,406.24656,11.259
2849,405.2637,12.58666667,406.271,12.58666667
2850,405.30466,15.12,406.31193,15.12
2851,405.31207,15.427,406.31935,15.427
2852,405.42273,0.79,812.86001,0.79
2853,405.71686,0.732,406.72413,0.732
2854,405.84488,0.736,406.85216,0.736
2855,405.93298,0.776,406.94026,0.776
2856,405.98203,0.65,406.9893,0.65
2857,406.03699,1.286,407.04426,1.286
2858,406.77786,0.683,407.78514,0.683
2859,406.77805,0.685,371.80864,0.685
2860,406.82986,22.846,407.83714,22.846
2861,406.91718,0.769,407.92445,0.769
2862,406.95462,0.646,425.97246,0.646
2863,407.1395,14.49166667,408.1468,14.49166667
2864,407.1617,13.50666667,408.169,13.50666667
2865,407.17218,4.129,408.17946,4.129
2866,407.1723,6.915,408.17958,6.915
2867,407.21857,6.116,408.22584,6.116
2868,407.2778,14.42,408.2851,14.42
2869,407.27988,13.672,408.28715,13.672
2870,407.28406,15.114,408.29133,15.114
2871,407.8439,0.737,408.85118,0.737
